race,linked_fate,linked_progress,linked_hurt,party_id,WEIGHT,AGE,Gender,party_reg,for_born,income_level,edu_level
Latinx,1,1,1,4,1.08907,21,2,Democrat,1,4,6
Latinx,-1,-1,-1,4,0.63239,30,2,Republican,1,4,6
Latinx,2,2,2,1,0.35705,21,2,Republican,2,4,6
Asians,1,1,-1,1,0.37945,37,2,Democrat,1,5,8
Whites,1,-2,-1,1,0.35996,37,2,Democrat,1,6,7
Latinx,2,1,2,1,1.33898,26,2,Democrat,1,4,6
Whites,1,1,1,2,0.42754,18,2,Republican,1,4,5
Blacks,2,2,2,3,0.49157,30,2,Democrat,1,5,7
Asians,2,1,1,1,1.48525,38,2,Decline to State,2,5,6
Whites,2,-1,-1,2,0.42754,20,2,Republican,1,1,5
Asians,1,1,1,4,3.11847,34,2,Decline to State,1,5,8
Whites,1,1,-1,3,2.61741,30,2,Republican,1,2,3
Whites,NA,NA,NA,2,0.55458,45,2,Republican,1,6,7
Whites,1,-1,-1,4,0.40584,43,2,Decline to State,1,5,8
Whites,1,-1,1,3,0.51471,41,2,Decline to State,1,3,7
Whites,1,-1,-1,1,0.4125,30,2,Democrat,1,5,8
Whites,1,-1,-1,1,1.8288,29,2,Decline to State,1,4,2
Latinx,1,1,-1,4,0.84021,29,2,Democrat,1,4,5
Whites,2,1,1,3,1.44329,26,2,Decline to State,1,6,7
Asians,1,1,2,1,0.55392,48,2,Democrat,2,4,7
Whites,-1,-1,-2,1,0.5992,37,2,Decline to State,1,6,8
Asians,2,2,2,1,0.3745,30,2,Democrat,1,5,7
Whites,-1,-1,-2,2,1.41738,48,1,Other,1,6,8
Asians,-1,-1,-1,1,0.21654,23,2,Democrat,2,3,6
Whites,1,1,-1,3,2.19717,40,2,Other,1,1,3
Blacks,NA,NA,NA,1,0.59492,38,2,Decline to State,1,4,7
Whites,NA,NA,NA,4,0.58112,32,2,Decline to State,2,5,8
Whites,1,1,2,2,3.29913,38,2,Republican,2,5,8
Whites,2,1,1,2,1.41122,47,2,Republican,1,5,8
Whites,-2,-2,-2,1,1.06755,32,2,Democrat,1,6,5
Asians,1,1,1,1,1.72672,26,2,Democrat,2,3,7
Asians,2,2,2,3,0.40249,27,2,Democrat,1,5,7
Whites,2,1,1,1,0.3491,31,2,Democrat,1,2,7
Latinx,1,2,1,1,0.1997,19,2,Democrat,1,5,5
Latinx,2,1,2,1,3.13515,27,2,Democrat,1,1,5
Latinx,2,1,1,3,0.63361,47,2,Republican,1,5,6
Asians,1,1,1,4,0.91617,19,2,Democrat,1,1,3
Whites,-1,-1,1,3,2.03389,62,2,Republican,1,2,3
Whites,1,1,1,3,0.50489,41,2,Other,1,5,7
Whites,1,-2,-1,1,0.35741,25,2,Democrat,1,4,7
Whites,1,-2,-2,1,0.48852,36,2,Democrat,2,6,7
Latinx,1,1,1,3,0.19731,47,2,Decline to State,1,4,7
Asians,2,2,1,1,0.40537,36,2,Democrat,2,6,8
Whites,-2,-2,-2,1,0.43218,32,2,Democrat,1,5,8
Latinx,2,1,1,1,0.52794,34,2,Democrat,1,4,8
Whites,1,-2,-2,1,0.44112,42,2,Democrat,1,5,7
Latinx,2,2,2,4,0.81071,23,2,Other,1,4,6
Whites,2,2,2,4,2.49896,50,2,Other,1,2,7
Whites,-2,-2,-2,1,0.46892,54,2,Democrat,1,6,8
Latinx,2,2,2,4,0.26812,23,2,Democrat,1,1,7
Whites,-1,-2,-1,3,0.49926,59,2,Decline to State,1,5,8
Whites,2,-2,-2,1,0.48852,38,2,Democrat,1,4,8
Whites,1,-2,-2,4,3.06636,39,2,Republican,1,4,5
Whites,2,1,-1,1,0.7343,41,2,Other,1,5,7
Whites,1,-2,-2,3,0.55898,47,2,Decline to State,1,5,7
Latinx,2,2,2,1,0.26486,45,2,Democrat,1,3,7
Whites,2,-2,-2,1,0.25726,25,2,Democrat,1,2,7
Whites,NA,-2,-2,3,1.86042,31,2,Other,1,4,7
Whites,2,NA,NA,3,0.57937,37,2,Decline to State,1,5,7
Whites,1,-1,-1,4,0.81486,31,2,Decline to State,1,6,5
Asians,2,1,1,1,0.56857,43,2,Other,1,1,8
Whites,1,-1,-1,1,0.23204,29,2,Democrat,1,3,7
Whites,1,-1,1,1,0.42533,35,2,Democrat,1,5,7
Whites,1,-2,-2,3,0.51471,41,2,Decline to State,1,5,8
Whites,NA,NA,NA,1,2.04066,27,2,Decline to State,1,5,7
Latinx,-2,-2,-2,1,0.35148,43,2,Democrat,1,5,6
Whites,1,1,1,2,0.92174,50,2,Republican,1,5,8
Latinx,1,1,1,1,0.55636,52,2,Democrat,1,6,8
Latinx,1,1,-1,1,1.7818,37,2,Decline to State,1,4,4
Asians,NA,NA,NA,3,2.23685,45,2,Decline to State,2,6,7
Whites,-1,1,1,3,0.35567,24,2,Decline to State,1,5,7
Whites,1,-1,1,3,0.63829,43,2,Other,1,5,4
Whites,2,1,-1,1,0.40235,45,2,Decline to State,1,4,7
Asians,NA,NA,NA,1,0.55392,49,2,Democrat,2,6,8
Latinx,-2,-2,-2,2,0.28723,48,2,Republican,1,1,7
Latinx,-1,-1,-1,1,0.26179,37,2,Decline to State,1,3,7
Whites,-1,-2,-2,1,0.71224,57,2,Decline to State,1,6,7
Whites,-1,-1,1,1,0.25578,63,2,Democrat,1,4,7
Whites,1,-1,-1,1,0.47229,52,2,Democrat,2,5,7
Whites,2,-2,-1,1,1.07773,41,2,Decline to State,1,5,6
Whites,2,1,1,3,3.39715,33,2,Other,1,4,3
Whites,NA,-1,-1,4,0.56189,33,2,Decline to State,1,5,8
Whites,1,1,1,1,0.49188,49,2,Democrat,1,5,8
Whites,1,-1,-1,1,0.28063,55,2,Democrat,1,5,8
Whites,-1,-2,-2,1,1.21095,61,2,Democrat,1,5,5
Whites,1,1,1,2,0.30248,26,2,Decline to State,1,5,7
Whites,1,-1,-1,1,2.41955,49,2,Democrat,1,5,7
Asians,NA,NA,NA,4,0.56704,32,2,Democrat,1,3,7
Whites,-1,-2,-1,1,0.44429,42,2,Democrat,1,6,8
Whites,2,1,-1,3,0.45745,60,2,Democrat,1,5,7
Whites,-1,-2,1,1,0.5001,39,2,Democrat,1,6,8
Asians,2,-1,1,1,3.57752,26,2,Decline to State,1,2,5
Asians,2,1,2,3,0.46629,27,2,Decline to State,1,6,7
Whites,1,-1,-1,1,0.51919,37,2,Democrat,1,4,7
Latinx,2,2,2,1,0.13137,24,2,Democrat,1,3,7
Blacks,1,-1,1,1,0.68294,30,2,Democrat,1,4,8
Whites,2,-1,2,2,0.96881,58,2,Republican,1,5,8
Asians,2,1,1,1,0.55392,45,2,Democrat,1,6,8
Whites,1,1,-1,3,0.5001,37,2,Democrat,1,3,7
Whites,2,2,2,NA,0.40538,64,2,Democrat,1,NA,7
Whites,2,2,2,2,1.51862,55,2,Republican,1,2,5
Whites,-1,-2,-2,1,0.35741,25,2,Democrat,1,2,7
Whites,-1,-1,-1,3,0.15589,24,2,Decline to State,1,5,7
Latinx,-2,-2,-2,4,0.58691,59,2,Other,1,3,4
Whites,1,-1,-1,3,0.60122,57,2,Republican,1,5,7
Whites,1,-2,-1,1,0.25726,27,2,Democrat,1,5,7
Latinx,2,2,2,4,0.23917,19,2,Decline to State,1,4,6
Blacks,2,2,1,1,1.06815,31,2,Decline to State,1,5,8
Latinx,2,1,1,1,0.07746,22,2,Decline to State,1,2,7
Blacks,2,1,2,1,0.57392,56,2,Democrat,1,3,7
Whites,-1,-2,-2,3,0.78058,51,2,Other,1,6,7
Latinx,-1,-1,-1,1,0.55636,50,2,Democrat,1,5,8
Whites,-2,-2,-2,1,0.40829,63,2,Democrat,1,5,7
Whites,1,-2,-2,1,0.65124,53,2,Democrat,1,5,6
Whites,1,-1,-1,1,0.35741,26,2,Democrat,1,4,7
Whites,-2,-2,-2,1,1.20271,69,2,Democrat,2,6,8
Asians,2,2,1,1,0.5239,47,2,Democrat,2,4,8
Latinx,-1,-1,2,1,0.35391,58,2,Democrat,1,3,7
Whites,2,2,2,2,0.65135,87,2,Other,1,NA,8
Whites,-2,-2,-2,1,1.40076,52,2,Democrat,1,5,6
Whites,1,-1,-1,1,0.34504,69,2,Democrat,1,5,8
Latinx,-1,1,-1,2,0.46258,47,2,Decline to State,1,4,5
Asians,1,1,-1,1,2.00829,39,2,Democrat,2,2,7
Whites,-2,-2,-2,1,0.49778,43,2,Democrat,1,4,7
Whites,1,-1,-1,1,0.43094,59,2,Democrat,1,5,8
Whites,1,-2,-2,2,0.51228,26,1,Decline to State,1,2,7
Whites,-1,-2,-1,1,0.47378,30,2,Democrat,1,1,7
Asians,2,1,1,1,0.54618,30,2,Democrat,1,NA,7
Whites,-1,-1,-1,3,0.46399,63,2,Other,1,4,7
Whites,1,-1,1,1,0.89754,69,2,Democrat,1,NA,7
Whites,2,2,2,1,0.36421,54,2,Republican,1,5,7
Whites,-1,-1,-2,1,0.59166,74,1,Democrat,1,5,8
Latinx,-2,-1,-2,3,0.76641,62,2,Other,1,5,6
Whites,1,-1,-1,1,0.3491,34,2,Democrat,1,6,8
Whites,1,1,-1,4,1.19606,21,2,Decline to State,1,2,5
Latinx,NA,1,1,1,1.4103,38,2,Democrat,1,4,5
Whites,-1,-1,-1,3,2.01078,60,2,Decline to State,1,1,2
Whites,1,-1,-1,1,0.5001,36,2,Democrat,1,6,8
Whites,1,1,1,1,2.83579,20,2,Democrat,1,5,3
Whites,1,-1,-1,1,0.43862,62,2,Democrat,1,NA,8
Whites,-1,-1,-1,3,2.57835,60,2,Republican,1,4,5
Whites,1,1,-1,1,0.52842,49,2,Democrat,1,5,8
Whites,1,-2,-2,1,0.48283,56,2,Democrat,2,5,8
Latinx,1,-1,1,1,0.17641,46,2,Democrat,1,6,8
Whites,-1,-2,-2,1,0.64218,69,2,Democrat,1,1,6
Whites,-1,1,-1,1,0.53075,75,2,Democrat,1,5,7
Whites,-1,-2,-2,1,1.42316,64,2,Democrat,1,2,8
Asians,NA,NA,NA,3,0.4849,58,2,Democrat,1,5,6
Latinx,1,2,-2,4,1.00344,36,2,Decline to State,1,5,4
Whites,2,-1,-1,1,0.67233,18,2,Democrat,1,6,3
Whites,1,1,1,2,0.56962,62,2,Republican,1,6,7
Whites,1,-2,-1,1,2.60835,54,2,Other,1,3,3
